trade_id,pair,entry_z,exit_z,n_days,trade_pnl,entry_stress,stress_band,halflife,reversion
76,NU-XP,2.5826841838396186,0.1029785536210994,4,0.4743274857667729,2.5826841838396186,stress,8.81502149616581,SLOW
77,NU-XP,-2.3490107163733907,-0.375586270749642,34,1.095822128408234,2.3490107163733907,stress,8.81502149616581,FAST
78,NU-XP,-2.0994496332126475,-0.4159410498080243,21,0.1783374366887197,2.0994496332126475,stress,8.81502149616581,FAST
79,NU-XP,2.1169082415625406,0.3902200547362746,14,0.786799536020159,2.1169082415625406,stress,8.81502149616581,FAST
80,NU-XP,2.2510292891427715,-0.2946588130718648,85,-1.502488796135584,2.2510292891427715,stress,8.81502149616581,FAST
81,NU-XP,2.4662133701390636,0.489600714703883,49,-0.6930524286838793,2.4662133701390636,stress,8.81502149616581,FAST
82,NU-XP,-3.350982108332483,-0.4980188604401857,67,-0.8602397499401848,3.350982108332483,extreme,8.81502149616581,FAST
83,NU-XP,-2.511062403713743,-0.4610995470887655,14,1.024602242496487,2.511062403713743,stress,8.81502149616581,FAST
84,ERJ-NU,2.401136627691019,0.3368899209920292,35,0.6809513151267348,2.401136627691019,stress,9.594300550096044,FAST
85,ERJ-NU,-2.0803856452112077,-0.3595546395637577,29,0.5286302765749448,2.0803856452112077,stress,9.594300550096044,FAST
86,ERJ-NU,2.399287751128537,0.456808805099904,35,-0.0857569926429888,2.399287751128537,stress,9.594300550096044,FAST
87,ERJ-NU,2.359548394742492,0.3958431197003759,92,-5.901485409242756,2.359548394742492,stress,9.594300550096044,FAST
88,ERJ-NU,2.1335048223637485,0.4626455145488737,35,0.347902100476813,2.1335048223637485,stress,9.594300550096044,FAST
89,ERJ-NU,2.2507545924419077,0.4260159591434967,85,-4.8038604898467945,2.2507545924419077,stress,9.594300550096044,FAST
90,ERJ-NU,2.6669989529027225,0.4535275366843541,56,-3.921021464197757,2.6669989529027225,stress,9.594300550096044,FAST
91,ERJ-NU,2.4692093340279326,0.0449740710041395,28,1.166197490880518,2.4692093340279326,stress,9.594300550096044,FAST
92,ERJ-NU,2.045891289744364,0.4316728727452126,20,2.4554558292609725,2.045891289744364,stress,9.594300550096044,FAST
93,ERJ-NU,2.9859128324150963,0.0003960711721874,24,4.150698177762644,2.9859128324150963,stress,9.594300550096044,FAST
94,MELI-VTEX,-2.6734676385077085,-0.4450866274623626,35,35.30378749216092,2.6734676385077085,stress,9.735651134414333,FAST
95,MELI-VTEX,2.4689827949912764,0.4816020141508252,20,57.87969964915655,2.4689827949912764,stress,9.735651134414333,FAST
96,MELI-VTEX,2.036161965793027,0.404808295493703,40,-3.722419293185368,2.036161965793027,stress,9.735651134414333,FAST
97,MELI-VTEX,2.274403924372454,-0.4165423730641299,1,-1.0696708605849323,2.274403924372454,stress,9.735651134414333,SLOW
98,MELI-VTEX,-2.1422948166914826,-0.2103052136606568,58,-32.53412046051261,2.1422948166914826,stress,9.735651134414333,FAST
99,MELI-VTEX,2.010755041301466,0.4127784522608234,25,130.15072349827057,2.010755041301466,stress,9.735651134414333,FAST
100,MELI-VTEX,2.529878058254695,0.2888628114621257,61,-236.5705671574063,2.529878058254695,stress,9.735651134414333,FAST
101,MELI-VTEX,-3.662660242500992,-0.0627691979681634,15,207.43671475766013,3.662660242500992,extreme,9.735651134414333,FAST
102,MELI-VTEX,-2.0753113031566746,-0.4735676579390442,38,-3.28787623600698,2.0753113031566746,stress,9.735651134414333,FAST
103,MELI-VTEX,2.139674250825342,0.0358513140626541,45,5.859896741551097,2.139674250825342,stress,9.735651134414333,FAST
104,MELI-VTEX,2.120858786416796,0.4602175766056512,42,-116.74362751031263,2.120858786416796,stress,9.735651134414333,FAST
105,MELI-VTEX,-2.6129714669646327,-0.3138785912999466,26,-25.6908486484935,2.6129714669646327,stress,9.735651134414333,FAST
